dbn,school_name,school_type,enrollment,survey_pp_RI,survey_pp_CT,survey_pp_SE,survey_pp_ES,survey_pp_SF,survey_pp_TR,gender_female_pct,gender_male_pct,QR_1_1,QR_1_2,QR_2_2,QR_3_4,QR_4_2,QR_1_4,QR_1_3,QR_3_1,QR_4_1,QR_5_1,ELL,IEP,hs_overage_undercredit_hoi_pct,temp_housing_pct,hra_elig_pct,median_distance,Principal_experience,Teach_3_more_exp,val_attendance_hs_all,val_chronic_absent_hs_all,Teacher_attendance,n_pct_cpci_all,val_pct_cpci_all,n_grad_pct_4_all,val_grad_pct_4_all,n_grad_pct_6_all,val_grad_pct_6_all,n_act_engl,val_act_engl,n_act_math,val_act_math,n_act_read,val_act_read,n_act_scie,val_act_scie,n_mean_act_engl,val_mean_act_engl,n_mean_act_math,val_mean_act_math,n_mean_act_read,val_mean_act_read,n_mean_act_scie,val_mean_act_scie,n_mean_sat_math,val_mean_sat_math,n_mean_sat_writ,val_mean_sat_writ,n_pct_act_engl,val_pct_act_engl,n_pct_act_math,val_pct_act_math,n_pct_sat_math,val_pct_sat_math,n_pct_sat_writ,val_pct_sat_writ
07X221,South Bronx Preparatory: A College Board School,High School,374,0.8,0.95,0.87,0.96,0.88,0.95,0.529,0.471,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,0.04,0.249,0.016,0.104,0.864,0.5,14.2,0.674,0.943,0.164,0.984,81,0.716,81,0.975,89,0.966,81,0,81,0,81,0,81,0,,,,,,,,,78,416,78,429,81,0,81,0,81,0.062,81,0.21
07X223,The Laboratory School of Finance and Technology: X,High School,391,0.78,0.89,0.84,0.85,0.89,0.89,0.486,0.514,Well Developed,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,0.056,0.192,0.018,0.133,0.808,0.5,18.2,0.623,0.881,0.385,0.974,88,0.869,88,0.955,85,0.918,88,0,88,0,88,0,88,0,,,,,,,,,84,499,84,478,88,0,88,0,88,0.398,88,0.477
07X259,"H.E.R.O. High (Health, Education, and Research Occ",High School,505,0.82,0.96,0.9,0.98,0.93,0.95,0.675,0.325,Well Developed,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,0.113,0.242,0.061,0.196,0.788,2.3,8.2,0.721,0.825,0.416,0.987,91,0.879,91,0.923,110,0.782,91,0,91,0,91,0,91,0,,,,,,,,,78,395,78,414,91,0,91,0,91,0.033,91,0.187
07X334,International Community High School,High School,399,0.76,0.83,0.87,0.87,0.91,0.9,0.476,0.524,Well Developed,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,0.9,0.08,0.256,0.331,0.719,1.3,14.7,0.964,0.708,0.708,0.981,100,0.41,100,0.74,119,0.874,100,0,100,0,100,0,100,0,,,,,,,,,72,376,72,385,100,0,100,0,100,0.01,100,0.02
07X427,Community School for Social Justice,High School,343,0.85,0.98,0.91,0.97,0.95,0.96,0.478,0.522,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Proficient,Proficient,Well Developed,Proficient,0.219,0.268,0.163,0.265,0.88,1.7,4.6,0.917,0.61,0.968,0.984,79,0.038,79,0.671,72,0.736,79,0,79,0,79,0,79,0,,,,,,,,,47,363,47,390,79,0,79,0,79,0,79,0.038
07X473,Mott Haven Village Preparatory High School,High School,253,0.63,0.7,0.78,0.7,0.88,0.82,0.482,0.518,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,0.146,0.308,0.103,0.198,0.862,0.8,8.2,0.818,0.817,0.465,0.985,70,0.293,70,0.614,79,0.582,70,0,70,0,70,0,70,0,,,,,,,,,49,409,49,413,70,0,70,0,70,0.057,70,0.086
07X500,Hostos-Lincoln Academy of Science,High School,369,0.75,0.89,0.82,0.87,0.83,0.9,0.496,0.504,Proficient,Developing,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,0.038,0.182,0.033,0.089,0.791,0.8,17.1,0.865,0.882,0.406,0.985,98,0.668,98,0.796,93,0.957,98,0,98,0,98,0,98,0,,,,,,,,,83,476,83,477,98,0,98,0,98,0.245,98,0.357
07X527,Bronx Leadership Academy II High School,High School,499,0.77,0.84,0.85,0.87,0.9,0.92,0.455,0.545,Proficient,Proficient,Developing,Well Developed,Well Developed,Well Developed,Proficient,Proficient,Well Developed,Proficient,0.124,0.293,0.106,0.18,0.721,1.3,6,0.781,0.765,0.542,0.974,142,0.673,142,0.81,132,0.833,142,0,142,0,142,0,142,0,,,,,,,,,118,410,118,408,142,0,142,0,142,0.056,142,0.077
07X548,Careers in Sports High School,High School,527,0.77,0.89,0.86,0.93,0.85,0.95,0.258,0.742,Proficient,Proficient,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Proficient,Proficient,Proficient,0.163,0.279,0.097,0.19,0.858,2,10.6,0.921,0.813,0.466,0.983,114,0.737,114,0.772,137,0.723,114,0,114,0,114,0,114,0,,,,,,,,,74,433,74,433,114,0,114,0,114,0.088,114,0.175
07X551,The Urban Assembly Bronx Academy of Letters,High School,360,0.75,0.94,0.8,0.95,0.91,0.96,0.489,0.511,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Proficient,Proficient,0.139,0.272,0.067,0.164,0.878,0.6,1.2,0.857,0.655,0.812,0.994,79,0.709,79,0.835,80,0.925,79,0,79,0,79,0,79,0,,,,,,,,,66,423,66,435,79,0,79,0,79,0.076,79,0.203
