SchoolDigger.com School Ranking Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New York High School Rankings / School Year: 2018-2019 Test Grades:  9th, 10th, 11th, 12th, End-of-course, Tests: Regents Algebra I, Regents Chemistry, Regents Algebra II, Regents English, Regents Geometry, Regents Earth Science, Regents Global History and Geography, Regents Living Environment, Regents Physics, Regents U.S. History and Government, Schools: All",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Copyright 2022, SchoolDigger.com. Not for commercial use. Do not distribute.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank (2018-19),School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2018-19),Average Standard Score (2017-18),Rank (2017-18),Rank Change from (2017-18),SchoolDigger Star Rating
22,North Shore Senior High School,https://www.schooldigger.com/go/NY/schools/2637003614/school.aspx,North Shore Central School District,https://www.schooldigger.com/go/NY/district/26370/search.aspx,450 Glen Cove Ave,Glen Head,https://www.schooldigger.com/go/NY/city/Glen+Head/search.aspx,11545,Nassau County,(516) 277-7001,9,12,Yes,No,No,No,852,87,9.7,11.60%,0.40%,0.40%,5.30%,9.40%,0.10%,2.20%,82.30%,84.9,84,31,9,5
23,Blind Brook High School,https://www.schooldigger.com/go/NY/schools/2463003350/school.aspx,Blind Brook-Rye Union Free School District,https://www.schooldigger.com/go/NY/district/24630/search.aspx,840 King St,Rye Brook,https://www.schooldigger.com/go/NY/city/Rye+Brook/search.aspx,10573,Westchester County,(914) 937-3600,9,12,Yes,No,No,No,468,34.5,13.5,1.30%,0.60%,0.00%,5.10%,5.10%,0.40%,3.00%,85.70%,84.7,85.1,18,-5,5
24,Pittsford-Mendon High School,https://www.schooldigger.com/go/NY/schools/2316003241/school.aspx,Pittsford Central School District,https://www.schooldigger.com/go/NY/district/23160/search.aspx,472 Mendon Rd,Pittsford,https://www.schooldigger.com/go/NY/city/Pittsford/search.aspx,14534,Monroe County,(585) 267-1602,9,12,No,No,No,No,1036,72.7,14.2,2.90%,3.20%,0.20%,11.30%,5.70%,0.10%,3.70%,75.90%,84.5,84,30,6,5
25,North Salem Middle School/High School,https://www.schooldigger.com/go/NY/schools/2118002991/school.aspx,North Salem Central School District,https://www.schooldigger.com/go/NY/district/21180/search.aspx,230 June Rd,North Salem,https://www.schooldigger.com/go/NY/city/North+Salem/search.aspx,10560,Westchester County,(914) 669-5414,6,12,Yes,No,No,No,626,61.8,10.1,12.50%,1.30%,0.00%,3.40%,14.20%,0.00%,2.40%,78.80%,84.5,84.3,28,3,5
26,Bethlehem Central Senior High School,https://www.schooldigger.com/go/NY/schools/0471000211/school.aspx,Bethlehem Central School District,https://www.schooldigger.com/go/NY/district/04710/search.aspx,700 Delaware Ave,Delmar,https://www.schooldigger.com/go/NY/city/Delmar/search.aspx,12054,Albany County,(518) 439-4921,9,12,No,No,No,No,1559,104.8,14.8,12.00%,2.60%,0.00%,6.80%,3.80%,0.00%,1.60%,85.20%,84.4,83,39,13,5
27,Fayetteville-Manlius Senior High School,https://www.schooldigger.com/go/NY/schools/1833001656/school.aspx,Fayetteville-Manlius Central School District,https://www.schooldigger.com/go/NY/district/18330/search.aspx,8201 E Seneca Tpke,Manlius,https://www.schooldigger.com/go/NY/city/Manlius/search.aspx,13104,Onondaga County,(315) 692-1900,9,12,No,No,No,No,1381,98.9,13.9,11.70%,3.60%,0.30%,8.00%,3.60%,0.00%,1.30%,83.20%,84.1,82.7,44,17,5
28,New Hartford Senior High School,https://www.schooldigger.com/go/NY/schools/2037001879/school.aspx,New Hartford Central School District,https://www.schooldigger.com/go/NY/district/20370/search.aspx,33 Oxford Rd,New Hartford,https://www.schooldigger.com/go/NY/city/New+Hartford/search.aspx,13413,Oneida County,(315) 624-1214,10,12,Yes,No,No,No,560,39.7,14.1,15.70%,2.10%,0.00%,6.10%,3.90%,0.00%,2.70%,85.20%,84.1,86.9,6,-22,5
29,Skaneateles Senior High School,https://www.schooldigger.com/go/NY/schools/2694003668/school.aspx,Skaneateles Central School District,https://www.schooldigger.com/go/NY/district/26940/search.aspx,49 E Elizabeth St,Skaneateles,https://www.schooldigger.com/go/NY/city/Skaneateles/search.aspx,13152,Onondaga County,(315) 291-2231,9,12,No,No,No,No,472,40.5,11.6,10.40%,0.40%,0.60%,2.10%,1.70%,0.00%,0.80%,94.30%,84.1,82.5,47,18,5
30,Honeoye Falls-Lima Senior High School,https://www.schooldigger.com/go/NY/schools/1470001223/school.aspx,Honeoye Falls-Lima Central School District,https://www.schooldigger.com/go/NY/district/14700/search.aspx,83 East St,Honeoye Falls,https://www.schooldigger.com/go/NY/city/Honeoye+Falls/search.aspx,14472,Monroe County,(585) 624-7051,9,12,No,No,No,No,735,57.1,12.8,13.60%,0.70%,0.40%,2.60%,2.40%,0.00%,2.30%,91.60%,84,85.2,16,-14,5
31,Cold Spring Harbor High School,https://www.schooldigger.com/go/NY/schools/0801000573/school.aspx,Cold Spring Harbor Central School District,https://www.schooldigger.com/go/NY/district/08010/search.aspx,82 Turkey Ln,Cold Spring Harbor,https://www.schooldigger.com/go/NY/city/Cold+Spring+Harbor/search.aspx,11724,Suffolk County,(631) 367-6900,7,12,Yes,No,No,No,913,82.8,11,3.00%,0.90%,0.00%,4.60%,4.50%,0.00%,1.20%,88.80%,83.8,84.1,29,-2,5
