SchoolDigger.com School Ranking Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New York High School Rankings / School Year: 2018-2019 Test Grades:  9th, 10th, 11th, 12th, End-of-course, Tests: Regents Algebra I, Regents Chemistry, Regents Algebra II, Regents English, Regents Geometry, Regents Earth Science, Regents Global History and Geography, Regents Living Environment, Regents Physics, Regents U.S. History and Government, Schools: All",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Copyright 2022, SchoolDigger.com. Not for commercial use. Do not distribute.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank (2018-19),School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2018-19),Average Standard Score (2017-18),Rank (2017-18),Rank Change from (2017-18),SchoolDigger Star Rating
642,Frank McCourt High School,https://www.schooldigger.com/go/NY/schools/0007806185/school.aspx,New York City Geographic District # 3,https://www.schooldigger.com/go/NY/district/00078/search.aspx,145 W 84th St,New York,https://www.schooldigger.com/go/NY/city/New+York/search.aspx,10024,New York County,(212) 362-2015,9,12,No,No,No,No,414,28,14.7,53.10%,13.80%,0.70%,4.10%,45.90%,0.50%,4.80%,30.20%,52.8,53.1,625,-17,2
643,Harlem Children's Zone Promise Academy Charter School,https://www.schooldigger.com/go/NY/schools/0010805640/school.aspx,Harlem Children's Zone Promise Academy Charter School,https://www.schooldigger.com/go/NY/district/00108/search.aspx,245 W 129th St,New York,https://www.schooldigger.com/go/NY/city/New+York/search.aspx,10027,New York County,(646) 556-6275,KG,12,Yes,Yes,No,No,1142,66,17.3,84.50%,79.90%,0.80%,0.20%,17.20%,0.30%,0.70%,1.00%,52.7,65.4,409,-234,2
644,Manhattan Bridges High School,https://www.schooldigger.com/go/NY/schools/0007705500/school.aspx,New York City Geographic District # 2,https://www.schooldigger.com/go/NY/district/00077/search.aspx,525 W 50th St,New York,https://www.schooldigger.com/go/NY/city/New+York/search.aspx,10019,New York County,(212) 757-5274,9,12,Yes,No,No,No,531,27.9,18.9,87.00%,0.40%,0.00%,0.00%,98.90%,0.20%,0.40%,0.20%,52.6,48.4,686,42,2
645,Forest Hills High School,https://www.schooldigger.com/go/NY/schools/0010001951/school.aspx,New York City Geographic District #28,https://www.schooldigger.com/go/NY/district/00100/search.aspx,67-01 110th St,Forest Hills,https://www.schooldigger.com/go/NY/city/Forest+Hills/search.aspx,11375,Queens County,(718) 268-3137,9,12,Yes,No,No,No,3792,204,18.5,78.00%,7.10%,0.80%,23.40%,35.60%,0.40%,3.00%,29.50%,52.5,53.9,612,-33,2
646,Johnstown Junior-Senior High School,https://www.schooldigger.com/go/NY/schools/1598001381/school.aspx,Johnstown City School District,https://www.schooldigger.com/go/NY/district/15980/search.aspx,1 Sir Bills Circle,Johnstown,https://www.schooldigger.com/go/NY/city/Johnstown/search.aspx,12095,Fulton County,(518) 762-4661,6,12,Yes,No,No,No,526,39,13.4,45.40%,1.30%,0.40%,0.80%,3.00%,0.20%,1.70%,92.60%,52.5,55,603,-43,2
647,Unity Center For Urban Technologies,https://www.schooldigger.com/go/NY/schools/0007700595/school.aspx,New York City Geographic District # 2,https://www.schooldigger.com/go/NY/district/00077/search.aspx,111 E 33rd St,New York,https://www.schooldigger.com/go/NY/city/New+York/search.aspx,10016,New York County,(212) 576-0530,9,12,Yes,No,No,No,278,17.5,15.8,90.60%,25.20%,0.40%,7.60%,60.40%,0.70%,1.10%,4.70%,52.3,27.5,861,214,2
648,Eastridge Senior High School,https://www.schooldigger.com/go/NY/schools/0969000741/school.aspx,East Irondequoit Central School District,https://www.schooldigger.com/go/NY/district/09690/search.aspx,2350 Ridge Rd E,Rochester,https://www.schooldigger.com/go/NY/city/Rochester/search.aspx,14622,Monroe County,(585) 339-1458,9,12,No,No,No,No,948,87.6,10.8,57.70%,22.00%,0.20%,2.40%,21.40%,0.00%,6.30%,47.60%,52.3,50.1,669,21,2
649,New Lebanon Junior-Senior High School,https://www.schooldigger.com/go/NY/schools/2043001886/school.aspx,New Lebanon Central School District,https://www.schooldigger.com/go/NY/district/20430/search.aspx,14665 Rte 22,New Lebanon,https://www.schooldigger.com/go/NY/city/New+Lebanon/search.aspx,12125,Columbia County,(518) 794-7600,7,12,Yes,No,No,No,206,27,7.6,39.30%,1.00%,0.00%,0.00%,2.90%,0.00%,3.40%,92.70%,52.3,56.2,593,-56,2
650,Civic Leadership Academy,https://www.schooldigger.com/go/NY/schools/0009806028/school.aspx,New York City Geographic District #24,https://www.schooldigger.com/go/NY/district/00098/search.aspx,45-10 94th St,Elmhurst,https://www.schooldigger.com/go/NY/city/Elmhurst/search.aspx,11373,Queens County,(718) 271-1487,9,12,Yes,No,No,No,591,33,17.9,76.00%,5.10%,0.00%,13.00%,69.20%,0.20%,6.90%,5.60%,52.3,53.6,614,-36,2
651,Robert H. Goddard High School of Communication Art,https://www.schooldigger.com/go/NY/schools/0012306047/school.aspx,New York City Geographic District #27,https://www.schooldigger.com/go/NY/district/00123/search.aspx,138-30 Lafayette St,Ozone Park,https://www.schooldigger.com/go/NY/city/Ozone+Park/search.aspx,11417,Queens County,(718) 848-8357,9,12,Yes,No,No,No,629,38,16.5,74.40%,7.50%,2.70%,25.00%,37.70%,1.30%,2.10%,23.80%,52.2,43.3,737,86,2
652,Athena High School,https://www.schooldigger.com/go/NY/schools/1263001032/school.aspx,Greece Central School District,https://www.schooldigger.com/go/NY/district/12630/search.aspx,800 Long Pond Rd,Rochester,https://www.schooldigger.com/go/NY/city/Rochester/search.aspx,14612,Monroe County,(585) 966-4000,9,12,No,No,No,No,1119,88.6,12.6,48.00%,16.30%,0.00%,4.60%,10.20%,0.00%,3.30%,65.70%,51.9,47.9,691,39,2
653,Brooklyn Studio Secondary School,https://www.schooldigger.com/go/NY/schools/0015203107/school.aspx,New York City Geographic District #21,https://www.schooldigger.com/go/NY/district/00152/search.aspx,8310 21st Ave,Brooklyn,https://www.schooldigger.com/go/NY/city/Brooklyn/search.aspx,11214,Kings County,(718) 266-5032,6,12,Yes,No,No,No,933,61,15.2,76.40%,4.30%,0.30%,21.10%,28.90%,0.40%,1.60%,43.30%,51.8,39.4,766,113,2
654,"Young Women's Leadership School, Astoria",https://www.schooldigger.com/go/NY/schools/0010205948/school.aspx,New York City Geographic District #30,https://www.schooldigger.com/go/NY/district/00102/search.aspx,23-15 Newtown Ave,Long Island City,https://www.schooldigger.com/go/NY/city/Long+Island+City/search.aspx,11105,Queens County,(718) 267-2839,6,12,Yes,No,No,No,580,41,14.1,79.00%,7.80%,1.00%,32.40%,40.30%,1.00%,0.30%,17.10%,51.8,47.9,692,38,2
655,Gouverneur High School,https://www.schooldigger.com/go/NY/schools/1236001002/school.aspx,Gouverneur Central School District,https://www.schooldigger.com/go/NY/district/12360/search.aspx,113 E Barney St,Gouverneur,https://www.schooldigger.com/go/NY/city/Gouverneur/search.aspx,13642,St. Lawrence County,(315) 287-1900,9,12,Yes,No,No,No,442,33,13.3,55.40%,0.90%,0.20%,0.00%,2.00%,0.20%,0.70%,95.90%,51.7,56.6,590,-65,2
656,G Ray Bodley High School,https://www.schooldigger.com/go/NY/schools/1170000931/school.aspx,Fulton City School District,https://www.schooldigger.com/go/NY/district/11700/search.aspx,6 William Gillard Dr,Fulton,https://www.schooldigger.com/go/NY/city/Fulton/search.aspx,13069,Oswego County,(315) 593-5400,9,12,Yes,No,No,No,1002,72,13.9,53.50%,2.10%,0.20%,1.10%,4.10%,0.00%,1.10%,91.40%,51.6,45.1,725,69,2
657,Dr Richard Izquierdo Health And Science Charter School,https://www.schooldigger.com/go/NY/schools/0102706234/school.aspx,Dr Richard Izquierdo Health And Science Charter School,https://www.schooldigger.com/go/NY/district/01027/search.aspx,800 Home St-Rm 205,Bronx,https://www.schooldigger.com/go/NY/city/Bronx/search.aspx,10456,Bronx County,(718) 378-0490,6,12,Yes,Yes,No,No,797,70.5,11.3,98.50%,24.00%,0.40%,0.50%,72.50%,0.10%,0.60%,1.90%,51.4,56.4,591,-66,2
658,York Early College Academy,https://www.schooldigger.com/go/NY/schools/0010005935/school.aspx,New York City Geographic District #28,https://www.schooldigger.com/go/NY/district/00100/search.aspx,108-35 167th St,Jamaica,https://www.schooldigger.com/go/NY/city/Jamaica/search.aspx,11433,Queens County,(718) 262-8547,6,12,Yes,No,No,No,657,28,23.4,69.30%,51.10%,9.30%,22.80%,8.80%,3.30%,3.50%,1.10%,51.4,48.8,682,24,2
659,Central Valley Academy,https://www.schooldigger.com/go/NY/schools/0108701283/school.aspx,Central Valley Central School District At Ilion-Mohawk,https://www.schooldigger.com/go/NY/district/01087/search.aspx,111 Frederick St,Ilion,https://www.schooldigger.com/go/NY/city/Ilion/search.aspx,13357,Herkimer County,(315) 895-7471,9,12,No,No,No,No,614,49,12.5,62.20%,4.40%,0.50%,1.10%,1.50%,0.00%,0.50%,92.00%,51.4,45,726,67,2
660,Arcadia High School,https://www.schooldigger.com/go/NY/schools/1263001031/school.aspx,Greece Central School District,https://www.schooldigger.com/go/NY/district/12630/search.aspx,120 Island Cottage Rd,Rochester,https://www.schooldigger.com/go/NY/city/Rochester/search.aspx,14612,Monroe County,(585) 966-3000,9,12,No,No,No,No,1090,80.8,13.4,54.10%,14.30%,0.30%,2.70%,14.50%,0.00%,3.50%,64.80%,51.2,39,769,109,2
661,Ellenville High School,https://www.schooldigger.com/go/NY/schools/1050004338/school.aspx,Ellenville Central School District,https://www.schooldigger.com/go/NY/district/10500/search.aspx,28 Maple Ave,Ellenville,https://www.schooldigger.com/go/NY/city/Ellenville/search.aspx,12428,Ulster County,(845) 647-0123,9,12,Yes,No,No,No,498,35.9,13.8,62.90%,15.30%,0.40%,3.80%,29.70%,0.00%,2.00%,48.80%,51,38.8,772,111,2
662,John V Lindsay Wildcat Academy Charter School,https://www.schooldigger.com/go/NY/schools/0005304411/school.aspx,John V Lindsay Wildcat Academy Charter School,https://www.schooldigger.com/go/NY/district/00053/search.aspx,17 Battery Pl,New York,https://www.schooldigger.com/go/NY/city/New+York/search.aspx,10004,New York County,(212) 209-6036,9,12,Yes,Yes,No,No,472,20.7,22.7,85.00%,40.00%,1.10%,0.00%,55.90%,0.80%,0.20%,1.90%,50.7,57,584,-78,2
663,Ticonderoga Junior-Senior High School,https://www.schooldigger.com/go/NY/schools/2868003895/school.aspx,Ticonderoga Central School District,https://www.schooldigger.com/go/NY/district/28680/search.aspx,5 Calkins Pl,Ticonderoga,https://www.schooldigger.com/go/NY/city/Ticonderoga/search.aspx,12883,Essex County,(518) 585-7400,7,12,Yes,No,No,No,253,24.1,10.4,26.90%,0.80%,0.40%,0.40%,0.40%,0.00%,0.00%,98.00%,50.5,56.6,589,-74,2
664,Groton Junior/Senior High School,https://www.schooldigger.com/go/NY/schools/1302001068/school.aspx,Groton Central School District,https://www.schooldigger.com/go/NY/district/13020/search.aspx,400 Peru Rd,Groton,https://www.schooldigger.com/go/NY/city/Groton/search.aspx,13073,Tompkins County,(607) 898-5802,6,12,No,No,No,No,419,37,11.3,44.90%,1.70%,0.00%,0.20%,2.10%,0.00%,2.60%,93.30%,50.4,50.7,655,-9,2
665,Rome Free Academy,https://www.schooldigger.com/go/NY/schools/2490003449/school.aspx,Rome City School District,https://www.schooldigger.com/go/NY/district/24900/search.aspx,95 Dart Circle,Rome,https://www.schooldigger.com/go/NY/city/Rome/search.aspx,13441,Oneida County,(315) 334-7203,9,12,Yes,No,No,No,1482,105,14.1,56.90%,8.00%,0.30%,1.30%,7.60%,0.10%,1.10%,81.60%,50.4,47.5,698,33,2
666,Queens Metropolitan High School,https://www.schooldigger.com/go/NY/schools/0010006209/school.aspx,New York City Geographic District #28,https://www.schooldigger.com/go/NY/district/00100/search.aspx,91-30 Metropolitan Ave,Forest Hills,https://www.schooldigger.com/go/NY/city/Forest+Hills/search.aspx,11375,Queens County,(718) 286-3600,9,12,No,No,No,No,1095,66.5,16.4,60.90%,3.30%,0.50%,9.70%,42.60%,0.50%,0.50%,42.90%,50.3,51.3,647,-19,2
667,South Lewis High School,https://www.schooldigger.com/go/NY/schools/2736003735/school.aspx,South Lewis Central School District,https://www.schooldigger.com/go/NY/district/27360/search.aspx,4264 East Rd,Turin,https://www.schooldigger.com/go/NY/city/Turin/search.aspx,13473,Lewis County,(315) 348-2520,9,12,No,No,No,No,298,23,12.9,58.10%,1.00%,0.00%,0.30%,2.00%,0.00%,3.70%,93.00%,50.1,56.9,586,-81,2
668,"Young Women's Leadership School, Queens",https://www.schooldigger.com/go/NY/schools/0010005832/school.aspx,New York City Geographic District #28,https://www.schooldigger.com/go/NY/district/00100/search.aspx,150-91 87th Rd,Jamaica,https://www.schooldigger.com/go/NY/city/Jamaica/search.aspx,11432,Queens County,(718) 725-0402,6,12,Yes,No,No,No,549,37,14.8,70.70%,40.80%,2.70%,36.80%,11.80%,1.80%,3.50%,2.60%,50,53.4,622,-46,2
669,Medgar Evers College Preparatory School,https://www.schooldigger.com/go/NY/schools/0009500882/school.aspx,New York City Geographic District #17,https://www.schooldigger.com/go/NY/district/00095/search.aspx,1186 Carroll St,Brooklyn,https://www.schooldigger.com/go/NY/city/Brooklyn/search.aspx,11225,Kings County,(718) 703-5400,6,12,Yes,No,No,No,1339,69,19.3,66.90%,87.20%,2.60%,1.80%,5.20%,0.70%,1.60%,0.90%,50,58.5,557,-112,2
670,Watkins Glen Central High School,https://www.schooldigger.com/go/NY/schools/3024004062/school.aspx,Watkins Glen Central School District,https://www.schooldigger.com/go/NY/district/30240/search.aspx,301 12th St,Watkins Glen,https://www.schooldigger.com/go/NY/city/Watkins+Glen/search.aspx,14891,Schuyler County,(607) 535-3210,7,12,Yes,No,No,No,492,45.2,10.8,45.70%,1.80%,1.00%,2.20%,2.40%,0.00%,3.00%,89.40%,49.7,62,479,-191,2
671,Spencer-Van Etten High School,https://www.schooldigger.com/go/NY/schools/2775003759/school.aspx,Spencer-Van Etten Central School District,https://www.schooldigger.com/go/NY/district/27750/search.aspx,16 Dartts Crossroad,Spencer,https://www.schooldigger.com/go/NY/city/Spencer/search.aspx,14883,Tioga County,(607) 589-7140,9,12,No,No,No,No,292,23,12.6,53.80%,2.10%,0.00%,0.70%,1.00%,0.30%,0.00%,95.90%,49.7,58.3,562,-109,2
672,Hutchinson Central Technical High School,https://www.schooldigger.com/go/NY/schools/0585000311/school.aspx,Buffalo City School District,https://www.schooldigger.com/go/NY/district/05850/search.aspx,256 S Elmwood Ave,Buffalo,https://www.schooldigger.com/go/NY/city/Buffalo/search.aspx,14201,Erie County,(716) 816-3888,9,12,Yes,No,No,No,1153,87.4,13.1,63.10%,38.20%,1.50%,13.50%,16.00%,0.00%,1.70%,29.00%,49.6,47.8,693,21,2
673,Dover High School,https://www.schooldigger.com/go/NY/schools/0921000707/school.aspx,Dover Union Free School District,https://www.schooldigger.com/go/NY/district/09210/search.aspx,2368 Rt 22,Dover Plains,https://www.schooldigger.com/go/NY/city/Dover+Plains/search.aspx,12522,Dutchess County,(845) 877-5750,9,12,No,No,No,No,426,29,14.6,52.10%,6.60%,0.20%,2.10%,21.10%,0.00%,2.10%,67.80%,49.6,48.6,683,10,2
674,New Roots Charter School,https://www.schooldigger.com/go/NY/schools/0099006102/school.aspx,New Roots Charter School,https://www.schooldigger.com/go/NY/district/00990/search.aspx,116 N Cayuga St,Ithaca,https://www.schooldigger.com/go/NY/city/Ithaca/search.aspx,14850,Tompkins County,(607) 882-9220,9,12,Yes,Yes,No,No,123,15.7,7.8,87.80%,9.80%,1.60%,2.40%,0.00%,0.00%,1.60%,84.60%,49.6,41.7,749,75,2
675,Taconic Hillsjunior/Senior High School,https://www.schooldigger.com/go/NY/schools/2862003886/school.aspx,Taconic Hills Central School District,https://www.schooldigger.com/go/NY/district/28620/search.aspx,73 County Rte 11a,Craryville,https://www.schooldigger.com/go/NY/city/Craryville/search.aspx,12521,Columbia County,(518) 325-2841,7,12,Yes,No,No,No,634,57,11.1,56.20%,0.90%,0.20%,0.30%,11.80%,0.00%,4.60%,82.20%,49.5,39.6,763,88,2
676,Newcomb Central School,https://www.schooldigger.com/go/NY/schools/2073002918/school.aspx,Newcomb Central School District,https://www.schooldigger.com/go/NY/district/20730/search.aspx,5535 Rt 28n,Newcomb,https://www.schooldigger.com/go/NY/city/Newcomb/search.aspx,12852,Essex County,(518) 582-3341,PK,12,No,No,No,No,81,16.6,4.8,40.70%,1.20%,0.00%,2.50%,1.20%,0.00%,0.00%,95.10%,49.5,68.7,344,-332,2
677,Susan E. Wagner High School,https://www.schooldigger.com/go/NY/schools/0010302878/school.aspx,New York City Geographic District #31,https://www.schooldigger.com/go/NY/district/00103/search.aspx,1200 Manor Rd,Staten Island,https://www.schooldigger.com/go/NY/city/Staten+Island/search.aspx,10314,Richmond County,(718) 698-4200,9,12,No,No,No,No,3380,168.5,20,54.70%,10.30%,0.60%,14.40%,27.30%,0.50%,1.10%,45.80%,49.5,43.8,735,58,2
678,Brentwood High School,https://www.schooldigger.com/go/NY/schools/0528004433/school.aspx,Brentwood Union Free School District,https://www.schooldigger.com/go/NY/district/05280/search.aspx,2 6th Ave,Brentwood,https://www.schooldigger.com/go/NY/city/Brentwood/search.aspx,11717,Suffolk County,(631) 434-2204,9,12,Yes,No,No,No,4596,267.5,17.1,76.30%,10.10%,0.30%,2.30%,82.90%,0.10%,0.10%,4.20%,49.5,49.7,671,-7,2
679,Manhattan Early College School For Advertising,https://www.schooldigger.com/go/NY/schools/0007706466/school.aspx,New York City Geographic District # 2,https://www.schooldigger.com/go/NY/district/00077/search.aspx,411 Pearl St,New York,https://www.schooldigger.com/go/NY/city/New+York/search.aspx,10038,New York County,(212) 225-0880,9,12,Yes,No,No,No,414,31.9,12.9,72.90%,35.50%,1.40%,9.40%,45.70%,0.50%,2.40%,5.10%,49.5,,,,2
680,Saunders Trades & Technical High School,https://www.schooldigger.com/go/NY/schools/3192004251/school.aspx,Yonkers City School District,https://www.schooldigger.com/go/NY/district/31920/search.aspx,183 Palmer Rd,Yonkers,https://www.schooldigger.com/go/NY/city/Yonkers/search.aspx,10701,Westchester County,(914) 376-8150,9,12,Yes,No,Yes,No,1109,80,13.8,46.20%,11.90%,0.20%,4.60%,59.20%,0.00%,1.60%,22.50%,49.3,47.1,701,21,2
681,Dundee Junior-Senior High School,https://www.schooldigger.com/go/NY/schools/0939000717/school.aspx,Dundee Central School District,https://www.schooldigger.com/go/NY/district/09390/search.aspx,55 Water St,Dundee,https://www.schooldigger.com/go/NY/city/Dundee/search.aspx,14837,Yates County,(607) 243-5534,7,12,No,No,No,No,280,25.5,10.9,55.40%,0.70%,0.40%,0.40%,2.90%,0.00%,2.10%,93.60%,49.3,50.7,656,-25,2
682,Harvey Milk High School,https://www.schooldigger.com/go/NY/schools/0007705522/school.aspx,New York City Geographic District # 2,https://www.schooldigger.com/go/NY/district/00077/search.aspx,2-10 Astor Pl,New York,https://www.schooldigger.com/go/NY/city/New+York/search.aspx,10003,New York County,(212) 477-1555,9,12,Yes,No,No,No,66,9,7.3,87.90%,16.70%,0.00%,1.50%,69.70%,0.00%,0.00%,12.10%,49.2,56,595,-87,2
683,Cohoes High School,https://www.schooldigger.com/go/NY/schools/0798000569/school.aspx,Cohoes City School District,https://www.schooldigger.com/go/NY/district/07980/search.aspx,1 Tiger Way,Cohoes,https://www.schooldigger.com/go/NY/city/Cohoes/search.aspx,12047,Albany County,(518) 237-9100,9,12,No,No,No,No,543,48,11.3,66.10%,10.50%,0.20%,2.20%,6.30%,0.00%,4.60%,76.20%,49.1,30.9,832,149,2
684,Jamestown High School,https://www.schooldigger.com/go/NY/schools/1563001350/school.aspx,Jamestown City School District,https://www.schooldigger.com/go/NY/district/15630/search.aspx,350 E 2nd St,Jamestown,https://www.schooldigger.com/go/NY/city/Jamestown/search.aspx,14701,Chautauqua County,(716) 483-3470,9,12,No,No,No,No,1352,100.9,13.3,59.20%,4.40%,0.30%,0.50%,19.50%,0.00%,9.80%,65.50%,49,53,626,-58,2
685,Tottenville High School,https://www.schooldigger.com/go/NY/schools/0010302883/school.aspx,New York City Geographic District #31,https://www.schooldigger.com/go/NY/district/00103/search.aspx,100 Luten Ave,Staten Island,https://www.schooldigger.com/go/NY/city/Staten+Island/search.aspx,10312,Richmond County,(718) 668-8800,9,12,No,No,No,No,3641,211,17.2,34.00%,1.60%,0.40%,5.40%,11.30%,0.00%,1.30%,80.00%,48.8,44.8,727,42,2
686,Elmira High School,https://www.schooldigger.com/go/NY/schools/1056000824/school.aspx,Elmira City School District,https://www.schooldigger.com/go/NY/district/10560/search.aspx,777 S Main St,Elmira,https://www.schooldigger.com/go/NY/city/Elmira/search.aspx,14904,Chemung County,(607) 735-3201,10,12,Yes,No,No,No,1223,75.9,16.1,51.30%,16.80%,0.20%,0.40%,2.90%,0.10%,4.40%,75.20%,48.8,50.1,667,-19,2
687,Oswego High School,https://www.schooldigger.com/go/NY/schools/2205003130/school.aspx,Oswego City School District,https://www.schooldigger.com/go/NY/district/22050/search.aspx,2 Buccaneer Blvd,Oswego,https://www.schooldigger.com/go/NY/city/Oswego/search.aspx,13126,Oswego County,(315) 341-2200,9,12,Yes,No,No,No,1142,79,14.4,1.20%,1.30%,0.40%,1.10%,4.90%,0.00%,1.60%,90.70%,48.7,52.1,636,-51,2
688,North Rose-Wolcott High School,https://www.schooldigger.com/go/NY/schools/1698001513/school.aspx,North Rose-Wolcott Central School District,https://www.schooldigger.com/go/NY/district/16980/search.aspx,11631 Salter-Colvin Rd,Wolcott,https://www.schooldigger.com/go/NY/city/Wolcott/search.aspx,14590,Wayne County,(315) 594-3100,9,12,No,No,No,No,348,39,8.9,56.30%,1.10%,0.00%,0.60%,6.90%,0.00%,3.40%,87.90%,48.6,46.2,715,27,2
689,South Bronx Preparatory: A College Board School,https://www.schooldigger.com/go/NY/schools/0008405650/school.aspx,New York City Geographic District # 7,https://www.schooldigger.com/go/NY/district/00084/search.aspx,360 E 145th St,Bronx,https://www.schooldigger.com/go/NY/city/Bronx/search.aspx,10454,Bronx County,(718) 292-2211,6,12,Yes,No,No,No,655,46.9,13.9,94.40%,24.30%,0.30%,1.50%,71.50%,0.20%,0.50%,1.80%,48.4,46.4,713,24,2
690,Jamaica Gateway To The Sciences,https://www.schooldigger.com/go/NY/schools/0010006283/school.aspx,New York City Geographic District #28,https://www.schooldigger.com/go/NY/district/00100/search.aspx,167-01 Gothic Dr,Jamaica,https://www.schooldigger.com/go/NY/city/Jamaica/search.aspx,11432,Queens County,(718) 480-2689,9,12,Yes,No,No,No,492,28.6,17.2,74.40%,34.60%,4.30%,34.80%,15.90%,2.80%,4.90%,2.80%,48.4,48.5,684,-6,2
691,Huntington High School,https://www.schooldigger.com/go/NY/schools/1509001263/school.aspx,Huntington Union Free School District,https://www.schooldigger.com/go/NY/district/15090/search.aspx,188 Oakwood Rd,Huntington,https://www.schooldigger.com/go/NY/city/Huntington/search.aspx,11743,Suffolk County,(631) 673-2003,9,12,No,No,No,No,1483,104.2,14.2,52.90%,7.40%,0.00%,2.00%,47.70%,0.00%,2.20%,40.70%,48.3,50.1,668,-23,2
692,Edward R. Murrow High School,https://www.schooldigger.com/go/NY/schools/0015201943/school.aspx,New York City Geographic District #21,https://www.schooldigger.com/go/NY/district/00152/search.aspx,1600 Ave L,Brooklyn,https://www.schooldigger.com/go/NY/city/Brooklyn/search.aspx,11230,Kings County,(718) 258-9283,9,12,Yes,No,No,No,3693,200,18.4,66.10%,21.90%,0.40%,24.50%,19.20%,0.40%,3.60%,29.90%,48.2,45.4,723,31,2
693,High School For Arts And Business,https://www.schooldigger.com/go/NY/schools/0009803154/school.aspx,New York City Geographic District #24,https://www.schooldigger.com/go/NY/district/00098/search.aspx,105-25 Horace Harding Expw,Corona,https://www.schooldigger.com/go/NY/city/Corona/search.aspx,11368,Queens County,(718) 271-8383,9,12,Yes,No,No,No,777,51,15.2,68.50%,7.70%,0.80%,8.80%,75.90%,0.10%,1.70%,5.00%,48.1,38.1,775,82,2
694,White Plains Senior High School,https://www.schooldigger.com/go/NY/schools/3126004188/school.aspx,White Plains City School District,https://www.schooldigger.com/go/NY/district/31260/search.aspx,550 North St,White Plains,https://www.schooldigger.com/go/NY/city/White+Plains/search.aspx,10605,Westchester County,(914) 422-2182,9,12,No,No,No,No,2238,122.3,18.2,58.50%,13.90%,0.00%,3.10%,58.40%,0.00%,1.50%,23.10%,48.1,48.1,688,-6,2
695,Ossining High School,https://www.schooldigger.com/go/NY/schools/2202003121/school.aspx,Ossining Union Free School District,https://www.schooldigger.com/go/NY/district/22020/search.aspx,29 S Highland Ave,Ossining,https://www.schooldigger.com/go/NY/city/Ossining/search.aspx,10562,Westchester County,(914) 762-5760,9,12,No,No,No,No,1562,99.8,15.6,51.70%,13.40%,0.10%,4.20%,55.80%,0.10%,2.50%,23.80%,47.9,45.7,719,24,2
696,Lockport High School,https://www.schooldigger.com/go/NY/schools/1767001586/school.aspx,Lockport City School District,https://www.schooldigger.com/go/NY/district/17670/search.aspx,250 Lincoln Ave,Lockport,https://www.schooldigger.com/go/NY/city/Lockport/search.aspx,14094,Niagara County,(716) 478-4452,9,12,Yes,No,No,No,1384,101.2,13.6,48.60%,14.80%,0.40%,1.00%,7.60%,0.00%,4.20%,72.00%,47.8,46.1,716,20,2
697,South Seneca Middle/High School,https://www.schooldigger.com/go/NY/schools/2214003134/school.aspx,South Seneca Central School District,https://www.schooldigger.com/go/NY/district/22140/search.aspx,7263 S Main St,Ovid,https://www.schooldigger.com/go/NY/city/Ovid/search.aspx,14521,Seneca County,(607) 869-9636,6,12,Yes,No,No,No,369,40.5,9.1,47.40%,2.20%,0.30%,0.30%,1.40%,0.00%,1.60%,94.30%,47.8,47.5,699,2,2
698,Fort Hamilton High School,https://www.schooldigger.com/go/NY/schools/0015101952/school.aspx,New York City Geographic District #20,https://www.schooldigger.com/go/NY/district/00151/search.aspx,8301 Shore Rd,Brooklyn,https://www.schooldigger.com/go/NY/city/Brooklyn/search.aspx,11209,Kings County,(718) 748-1537,9,12,Yes,No,No,No,4550,232,19.6,71.50%,3.10%,0.20%,27.50%,31.60%,0.40%,1.60%,35.50%,47.6,46.9,707,9,2
699,Odyssey Academy,https://www.schooldigger.com/go/NY/schools/1263001035/school.aspx,Greece Central School District,https://www.schooldigger.com/go/NY/district/12630/search.aspx,750 Maiden Ln,Rochester,https://www.schooldigger.com/go/NY/city/Rochester/search.aspx,14615,Monroe County,(585) 966-5200,6,12,Yes,No,No,No,1030,92.7,11.1,61.40%,15.80%,0.00%,3.70%,18.50%,0.20%,3.80%,58.00%,47.6,45.5,721,22,2
700,Waterloo High School,https://www.schooldigger.com/go/NY/schools/0001401425/school.aspx,Waterloo Central School District,https://www.schooldigger.com/go/NY/district/00014/search.aspx,96 Stark St,Waterloo,https://www.schooldigger.com/go/NY/city/Waterloo/search.aspx,13165,Seneca County,(315) 539-1550,9,12,Yes,No,No,No,467,38,12.2,54.80%,4.70%,0.40%,0.20%,5.80%,0.00%,1.30%,87.60%,47.5,48.9,679,-21,2
